,,
Distribution of Population by Land Area ,,
Source: 2019 Kenya Population and Housing Census Volume I: Population by County and Sub-County,,
https://wwwknbsorke/?wpdmpro=2019-kenya-population-and-housing-census-volume-i-population-by-county-and-sub-county,,
"Population, Land area, Sub-county, County, Kenya",,
,,
name,Year,total
Kinangop,Population,111410
Kipipiri,Land Area (Sq. Km),456.3
Kipipiri,Population,93855
Kipkelion,Land Area (Sq. Km),349.9
Kipkelion,Population,122530
Kipkomo,Land Area (Sq. Km),765.6
Kipkomo,Population,102633
Kirinyaga,Land Area (Sq. Km),1478.3
Kirinyaga,Population,610411
Kirinyaga Central,Land Area (Sq. Km),153.3
Kirinyaga Central,Population,122740
Kirinyaga East,Land Area (Sq. Km),231.8
Kirinyaga East,Population,135559
Kirinyaga West,Land Area (Sq. Km),207.8
Kirinyaga West,Population,114660
Kisasi,Land Area (Sq. Km),294.6
Kisasi,Population,46142
Kisauni,Land Area (Sq. Km),87.7
Kisauni,Population,291930
Kisii,Land Area (Sq. Km),1323
Kisii,Population,1266860
Kisii Central,Land Area (Sq. Km),135.8
Kisii Central,Population,166906
Kisii South,Land Area (Sq. Km),128.3
Kisii South,Population,135134
Kisumu ,Land Area (Sq. Km),2085.4
Kisumu ,Population,1155574
Kisumu Central,Land Area (Sq. Km),36.8
Kisumu Central,Population,174145
Kisumu East,Land Area (Sq. Km),141.6
Kisumu East,Population,220997
Kisumu West,Land Area (Sq. Km),209
Kisumu West,Population,172821
Kitui ,Land Area (Sq. Km),30429.5
Kitui ,Population,1136187
Kitui Central,Land Area (Sq. Km),421.8
Kitui Central,Population,105991
Kitui West,Land Area (Sq. Km),416.4
Kitui West,Population,70871
Kitutu Central,Land Area (Sq. Km),100.3
Kitutu Central,Population,154175
Koibatek,Land Area (Sq. Km),938.6
Koibatek,Population,129535
Konoin,Land Area (Sq. Km),392.5
Konoin,Population,163507
Kuresoi North,Land Area (Sq. Km),618.1
Kuresoi North,Population,175074
Kuresoi South,Land Area (Sq. Km),548.2
Kuresoi South,Population,155324
Kuria East,Land Area (Sq. Km),187.6
Kuria East,Population,96872
Kuria West,Land Area (Sq. Km),395.7
Kuria West,Population,208513
Kutulo,Land Area (Sq. Km),2509.3
Kutulo,Population,72394
Kw ale,Land Area (Sq. Km),8267.1
Kw ale,Population,866820
Kwanza,Land Area (Sq. Km),465.3
Kwanza,Population,203821
Kyus o,Land Area (Sq. Km),2524.5
Kyus o,Population,76867
Lafey ,Land Area (Sq. Km),3846.3
Lafey ,Population,83457
Lagdera,Land Area (Sq. Km),6096.4
Lagdera,Population,50315
Laikipia ,Land Area (Sq. Km),9532.2
Laikipia ,Population,518560
Laikipia Central,Land Area (Sq. Km),1232.6
Laikipia Central,Population,95594
Laikipia East,Land Area (Sq. Km),1539
Laikipia East,Population,102815
Laikipia North,Land Area (Sq. Km),2575
Laikipia North,Population,36184
Laikipia West,Land Area (Sq. Km),3372.2
Laikipia West,Population,129263
Lamu,Land Area (Sq. Km),6253.3
Lamu,Population,143920
Lamu East,Land Area (Sq. Km),2336.7
Lamu East,Population,22258
Lamu West,Land Area (Sq. Km),3916.6
Lamu West,Population,121662
Lang'ata,Land Area (Sq. Km),216.8
Lang'ata,Population,197489
Lari ,Land Area (Sq. Km),432.3
Lari ,Population,135303
Likoni,Land Area (Sq. Km),40.5
Likoni,Population,250358
Likuyani,Land Area (Sq. Km),316.1
Likuyani,Population,152055
Limuru,Land Area (Sq. Km),285.1
Limuru,Population,159314
Loima ,Land Area (Sq. Km),9113.3
Loima ,Population,107795
Loitokitok,Land Area (Sq. Km),6336.7
Loitokitok,Population,191846
Loiyangalani,Land Area (Sq. Km),11789.2
Loiyangalani,Population,35713
Londiani,Land Area (Sq. Km),399.5
Londiani,Population,137580
Lower Yatta,Land Area (Sq. Km),1191
Lower Yatta,Population,63329
Luanda,Land Area (Sq. Km),84.3
Luanda,Population,106694
Lugari ,Land Area (Sq. Km),254.3
Lugari ,Population,122728
Lungalunga,Land Area (Sq. Km),2765.2
Lungalunga,Population,198423
Maara,Land Area (Sq. Km),265.1
Maara,Population,114894
Machakos,Land Area (Sq. Km),6042.7
Machakos,Land Area (Sq. Km),280.2
Machakos,Population,170606
Machakos,Population,1421932
Magarini,Land Area (Sq. Km),5229.4
Magarini,Population,191610
Makadara,Land Area (Sq. Km),11.7
Makadara,Population,189536
Makindu,Land Area (Sq. Km),852.1
Makindu,Population,84946
Makueni,Land Area (Sq. Km),609.3
Makueni,Population,130375
Makueni ,Land Area (Sq. Km),8169.8
Makueni ,Population,987653
Malindi,Land Area (Sq. Km),2263.3
Malindi,Population,333226
Mandera,Land Area (Sq. Km),25939.8
Mandera,Population,867457
Mandera Central,Land Area (Sq. Km),4031.6
Mandera Central,Population,157220
Mandera Eas t,Land Area (Sq. Km),2505.7
Mandera Eas t,Population,159638
Mandera North,Land Area (Sq. Km),5087.3
Mandera North,Population,143850
Mandera Wes t,Land Area (Sq. Km),4016.9
Mandera Wes t,Population,98300
Manga ,Land Area (Sq. Km),111.5
Manga ,Population,94209
Marakwet Eas t,Land Area (Sq. Km),853.2
Marakwet Eas t,Population,97041
Marakwet Wes t,Land Area (Sq. Km),737.9
Marakwet Wes t,Population,137513
Marani ,Land Area (Sq. Km),128.4
Marani ,Population,107464
Marigat,Land Area (Sq. Km),1453.4
Marigat,Population,90955
Mars abit Central,Land Area (Sq. Km),2142.8
Mars abit Central,Population,79181
Mars abit North,Land Area (Sq. Km),19836.8
Mars abit North,Population,54297
Mars abit South,Land Area (Sq. Km),8447.4
Mars abit South,Population,65376
Marsabit,Land Area (Sq. Km),7944.1
Marsabit,Population,459785
Mas aba North,Land Area (Sq. Km),141.7
Mas aba North,Population,111860
Mas aba South,Land Area (Sq. Km),161.2
Mas aba South,Population,122396
Mas huuru,Land Area (Sq. Km),2250.7
Mas huuru,Population,64214
Mas inga,Land Area (Sq. Km),1405.7
Mas inga,Population,148522
Matete ,Land Area (Sq. Km),102.7
Matete ,Population,66172
Mathare,Land Area (Sq. Km),3
Mathare,Population,206564
Mathioya,Land Area (Sq. Km),177.5
Mathioya,Population,92814
Mathira Eas t,Land Area (Sq. Km),130.4
Mathira Eas t,Population,99065
Mathira Wes t,Land Area (Sq. Km),162.3
Mathira Wes t,Population,59895
Matinyani,Land Area (Sq. Km),264.2
Matinyani,Population,47811
Matuga,Land Area (Sq. Km),1032.4
Matuga,Population,194252
Matungu,Land Area (Sq. Km),279.1
Matungu,Population,166940
Matungulu,Land Area (Sq. Km),581.4
Matungulu,Population,161557
Mau Fores t,Land Area (Sq. Km),201.2
Mau Fores t,Population,0
